coffee1,coffee2,coffee3,coffee4,date,elevator1,elevator2,elevator3,elevator4,flight1,flight2,flight3,flight4,id,job1,job2,job3,job4,noise1,noise2,noise3,noise4,participantDAO,restaurant1,restaurant2,restaurant3,restaurant4,session,yellow1,yellow2,yellow3,yellow4
3,3,3,3,Tue, 25 Aug 2015 08:56:31 -0500,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,17,3,3,3,3,PRE,0,0,0,0
3,3,3,3,Tue, 25 Aug 2015 11:51:48 -0500,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,PRE,0,0,0,0
3,3,3,3,Wed, 26 Aug 2015 12:24:50 -0500,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19,3,3,3,3,PRE,0,0,0,0
1,1,1,1,Thu, 27 Aug 2015 14:25:49 -0500,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,20,1,1,1,1,PRE,0,0,0,0
2,2,2,2,Thu, 03 Sep 2015 09:08:22 -0500,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,22,2,2,2,2,PRE,0,0,0,0
3,3,3,3,Mon, 07 Sep 2015 09:04:39 -0500,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,24,3,3,3,3,PRE,0,0,0,0
1,1,1,1,Wed, 09 Sep 2015 09:14:56 -0500,1,2,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,25,1,1,1,1,PRE,0,0,0,0
1,1,1,2,Wed, 09 Sep 2015 12:52:33 -0500,1,2,1,1,1,2,3,1,8,1,1,1,1,1,1,1,1,28,1,1,1,-1,PRE,0,0,0,0
1,2,1,1,Thu, 10 Sep 2015 13:35:04 -0500,1,1,2,1,1,1,1,1,9,2,1,1,1,1,1,1,2,29,1,1,2,1,PRE,0,0,0,0
1,1,1,1,Thu, 10 Sep 2015 13:55:38 -0500,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,28,1,1,1,1,PRE,0,0,0,0
1,1,1,1,Thu, 17 Sep 2015 14:18:25 -0500,1,1,1,1,2,1,1,1,11,1,1,2,1,1,1,1,1,33,2,1,1,1,PRE,0,0,0,0
1,2,1,1,Fri, 18 Sep 2015 10:48:11 -0500,1,2,1,1,1,1,1,1,12,1,1,2,1,1,1,1,1,34,1,2,1,1,PRE,0,0,0,0
